name,en,short,star,price,score,rev,loc,avail,areaTxt,kokusai,market,station,stationM,lat,lng,cond,bath,pool,bf,parking,note
"난세이 칸코 호텔","Nansei Kanko Hotel","난세이","3","105251","8.2","3497","9.3","2","20㎡","0","8","마키시역","52","26.217394","127.692055","노후 · 방음 약함","없음 (공식 FAQ 확인)","없음","11층 뷔페","없음","마키시역 52m로 역 접근성 1위이고 20㎡ 트윈이 남아 있지만, 쇼와기 건물이라 옆방 대화가 들릴 정도로 방음이 약합니다."
"호텔 스트라타 나하","HOTEL STRATA Naha","스트라타","3.5","106631","8.9","3856","9.1","2","16㎡","7","9","미에바시역","49","26.218807","127.684307","신축급 (2020)","없음 (욕실·화장실 분리형)","야외 가든풀(4~10월) · 24h 피트니스","뷔페","1박 1,500엔 · 48대","미에바시역 49m. 22~37㎡ 객실도 있는 호텔이지만 이 날짜엔 16㎡ 컴팩트룸 2종만 남았습니다. 1월이라 야외 풀은 시즌 오프."
"알몬트 호텔 나하-겐초마에","Almont Hotel Naha Kenchomae","알몬트","3.5","115314","9","23125","9.3","1","15㎡","3","14","겐초마에역","165","26.213367","127.678146","청결도 최상위","12층 대욕장 '욘나~노유' 인공온천 · 무료","없음","뷔페 (오키나와 향토요리)","1박 1,500엔 · 32대","후기 2.3만 건에 9.0점으로 가장 검증된 곳이고 12층 대욕장이 강점. 다만 남은 방이 15㎡ 하나뿐인데 11.5만 원이라 넓이만 보면 비쌉니다."
"호텔 그랜드 콘소트 나하","Hotel Grand Consort Naha","그랜드콘소트","4","121403","9.1","8311","9.1","2","16·23㎡","3","10","겐초마에역","364","26.212385","127.682243","신축 (2022) · 최상","없음 (전 객실 욕실·화장실 분리)","없음","뷔페 + 무료 드링크 라운지","1박 1,650엔","판매 완료 0종. 2022년 신축에 전 객실 욕실·화장실 분리, 무료 라운지 드링크. 23㎡ 트윈을 잡을 수 있는 몇 안 되는 곳이지만 진입로 오르막이 있습니다."
"Hewitt Resort Naha","Hewitt Resort Naha","휴잇","5","130618","8.6","14037","8.7","4","20~25㎡","9","11","아사토역","154","26.218119","127.695892","5성 · 넓은 객실","없음","옥상 인피니티풀 · 아동용 수영장","조식 뷔페","주차장 있음","2인 객실 4종이 모두 20~25㎡로, 가장 좁은 방이 20㎡인 유일한 호텔입니다. 25㎡ 유니버셜룸이 ₩130,618. 다만 아사토역 쪽이라 국제거리는 도보 9분 정도이고 위치 평점 8.7로 상대적으로 낮습니다."
"호텔 그레이스리 나하","HOTEL GRACERY Naha","그레이스리","4","130308","8.9","12543","9.4","2","18·22㎡","2","6","겐초마에역","311","26.21422","127.68247","양호 (2016)","없음 (욕조·세면 분리형)","없음","뷔페","자체 없음 (제휴)","유닛배스가 아닌 욕조·세면 분리형 욕실이 강점(욕실 평점 9.2). 남은 최저가가 흡연 더블이라는 점은 확인이 필요하고, 22㎡ 트윈 A는 조금 더 내면 잡힙니다."
"호텔 JAL 시티 나하","Hotel JAL City Naha","JAL 시티","4","136674","8.7","20798","9.4","3","18~25㎡","0","5","미에바시역","386","26.216021","127.685852","연식 있음 (2006)","없음 (전 객실 유닛배스)","없음","뷔페 (와·양·류큐 약 50종)","1박 1,800엔 · 85대","국제거리 한복판의 4성으로 조식 평가가 꾸준히 높습니다. 2인 객실은 3종이고 25㎡ 와이드 트윈이 ₩194,841로 뛰어, 실속은 ₩136,674 트윈 쪽입니다. 2006년 건물이라 욕실은 좁은 유닛배스."
"다이와 로이넷 호텔 나하 코쿠사이도리","Daiwa Roynet Hotel Naha Kokusai-dori","다이와","3.5","137724","8.8","11136","9.4","1","18㎡","1","10","마키시역","156","26.217981","127.693886","2025년 리뉴얼 · 신축급","없음 (유닛형 욕실)","없음","뷔페 (오키나와 요리 약 50종)","제휴 1,500엔 · 60대","2025년 2월 리뉴얼로 컨디션은 신축급이고 마키시역 직결. 다만 27~30㎡ 트윈은 다 빠지고 18㎡ 하나만 13.8만 원에 남아 넓이 기준으로는 추천하기 어렵습니다."
"오키나와 히노데 온천 리조트","Okinawa Hinode Resort & Hot Spring","히노데","4","169174","9.2","9774","9.3","2","16·20㎡","3","10","마키시역","136","26.216213","127.693267","신축 (2020) · 협소","야외 심층수 천연온천 (수영복) · 무료","야외 수영장","뷔페 + 알코올·아이스크림 무제한","1박 1,500엔 · 약 10대","나하 시내에서 드물게 천연온천 + 수영장 + 술·야식 무제한. 다만 16㎡ 더블에 16.9만 원으로 면적당 가격이 가장 비쌉니다."
"호텔 컬렉티브","HOTEL COLLECTIVE","컬렉티브","5","285688","9.2","11017","9.7","2","30㎡","1","2","미에바시역","475","26.215097","127.685539","최상 (2019 신축급)","대욕장 + 드라이·스팀 사우나 · 무료","야외 25m 수영장(4~10월) · 피트니스","뷔페","지하 150대","아고다 기준 국제거리 80m·공설시장 180m로 위치가 압도적이고 남은 방이 30㎡ 트윈. 대욕장·사우나까지 있는 유일한 5성이지만 가격이 3배입니다."
"류진 호텔 우키시마 나하","Ryuujin Hotel Ukishima Naha","류진","5","85354","9.3","76","9.5","3","25㎡","1","3","미에바시역","523","26.214615","127.685364","5성급 · 25㎡ 균일","확인 불가","없음","확인 불가","확인 불가","29곳 중 가장 강한 후보입니다. 아고다가 상세페이지에 국제거리 90m · 제1마키시 공설시장 190m로 직접 표기했고, 남은 3종이 전부 25㎡ 2인실이며 최저가가 ₩85,354입니다. 평점 9.3인데 이용후기가 76건뿐이라 표본이 작은 점만 감안하세요."
"호텔 나하 시티 -국제 거리-","Hotel Naha City -Kokusai Street-","나하 시티","2","87127","8.5","3794","9.1","3","10~18㎡","1","6","겐초마에역","410","26.214571","127.683456","2성급 · 후기 3,794건","확인 불가","없음","오키나와식 조식 제공(아고다 표기)","확인 불가","국제거리 위에 바로 있고 후기도 3,794건으로 두껍습니다. 다만 최저가 방이 10㎡ 세미더블(싱글베드 1개)이라 2인이 쓰기엔 좁고, 18㎡ 트윈은 ₩101,912로 올라갑니다."
"호텔 몬트레이 라 수르 나하","Hotel Monterey La Soeur Naha","몬트레이","4","124441","9.1","429","9.5","3","19~27㎡","1","10","겐초마에역","200","26.213532","127.681118","위치 평점 9.5","확인 불가","없음","확인 불가","확인 불가","위치 평점 9.5로 20곳+9곳 중 최상위권입니다. 국제거리 서쪽 구간 바로 위, 27㎡ 코너 트윈이 ₩163,040. 19㎡ 킹·트윈이 같은 ₩124,441이라 트윈을 잡는 게 이득입니다."
"더 로열 파크 호텔 아이코닉 나하","The Royal Park Hotel Iconic Naha","로열 파크","4","148796","9.2","0","9.2","4","25~30㎡","2","13","겐초마에역","63","26.21448","127.67864","프리미엄 · 25㎡ 이상","확인 불가","확인 불가","확인 불가","확인 불가","예산을 올릴 수 있으면 여기가 상단입니다. 전 객실 25~30㎡, 겐초마에역 63m, 평점 9.2. 30㎡ 슈페리어 킹이 ₩152,152로 25㎡ 스탠다드 킹(₩173,796)보다 싸다는 점이 특이합니다."
"컴포트 호텔 나하 프리펙추얼 오피스","Comfort Hotel Naha Prefectural Office","컴포트","3","98132","8.8","1024","9","4","13~19㎡","2","14","겐초마에역","191","26.213453","127.677734","체인 표준 · 객실 협소","확인 불가","없음","컴포트 체인 무료 조식(확인 필요)","확인 불가","국제거리 서쪽 입구·겐초마에역 근처의 안정적인 체인입니다. 대신 13㎡가 주력이고 19㎡ 트윈은 ₩142,496까지 올라가서, 넓이를 원하면 값이 급하게 뜁니다."
"LESTEL NAHA","LESTEL NAHA","LESTEL","2","52078","8.4","0","8.4","2","12㎡","5","4","마키시역","668","26.2121","127.689095","최저가 · 12㎡","확인 불가","없음","확인 불가","확인 불가","전체 최저가(₩52,078)입니다. 시장 쪽으로 가깝지만 방이 12㎡라 캐리어 2개를 펴기 어렵습니다. 잠만 자고 나갈 계획일 때만 후보."
"OMO5 오키나와 나하 바이 호시노 리조트","OMO5 Okinawa Naha by Hoshino Resorts","OMO5","4","80744","8.6","442","8.9","2","19㎡","6","12","겐초마에역","341","26.217413","127.679924","호시노 리조트 계열","확인 불가","없음","확인 불가","확인 불가","₩80,744에 19㎡ 퀸, ₩86,766에 19㎡ 트윈. 호시노 리조트 계열의 OMO 레인저 동네 투어가 있는 브랜드로 서비스 만족도가 높은 편입니다. 국제거리까지는 도보 6분 정도."
"인피니티 호텔 나하 쿠모지","Infinity Hotel Naha Kumoji","인피니티","3","53302","8.4","1067","9","4","20~30㎡","7","10","미에바시역","149","26.219105","127.682915","넓이 대비 최저가","확인 불가","없음","확인 불가","확인 불가","넓이 대비 가성비 1위입니다. 30㎡ 슈페리어 트윈이 ₩79,547로, 27㎡ ₩87,960인 콘도미니오보다 넓고 쌉니다. 20㎡ 더블은 ₩53,302. 대신 쿠모지라 국제거리까지 도보 7분."
"그린 리치 호텔 앤 캡슐 나하","Green Rich Hotel & Capsule Naha","그린 리치","3","79870","8.1","0","0","3","16㎡","9","13","미에바시역","436","26.219864","127.680092","대욕장 보유","인공온천 대욕장 (후타마타 유노하나)","없음","확인 불가","확인 불가","29곳 중 드물게 인공온천 대욕장이 있습니다. ₩79,870에 16㎡ 트윈. 금연·흡연 트윈이 같은 값이라 금연을 지정해야 합니다. 국제거리까지는 도보 9분."
